;Plateforme;Proposition de feu signalétique;Localisation;"
Données recueillies et 
Politique de confidentialité 
";Conditions d'utilisation;Remarques ou alternatives;"Changement 
de statut";Statut M365;;;
;LINGODEER;R;Singapour;"nom, âge, adresse e-mail

Traite les enregistrements audio. Ces téléchargements seront également accessibles aux autres utilisateurs qui suivent le compte.

Infos techniques, données de localisation, données audio. Les données audio sont envoyées à un fournisseur tiers mais ne sont pas stockées.

Ne garantit pas que leurs fournisseurs tiers suivent leur politique de confidentialité.";"RGPD EU

D'autres utilisateurs peuvent trouver un profil s'ils connaissent le pseudo. De nombreuses informations se trouvent dans les profils, dont les fichiers audio téléchargés.";;;n'existe pas;;;
;LINKEDIN;R;USA – Washington -  Microsoft Corporation;"A l'inscription : nom, adresse e-mail et/ou numéro de téléphone, lieu de résidence.

Collecte vos données personnelles lorsque vous en fournissez, en publiez ou en téléchargez sur les Services.";"Si vous synchronisez vos calendriers avec LinkedIn, les informations relatives aux réunions de vos calendriers sont collectées.

Si vous ou des tiers choisissez de synchroniser vos comptes de messagerie avec nos Services, nous collecterons également les informations des « en-têtes d'email » que nous pouvons associer aux profils de Membres.

Peut utiliser vos données personnelles pour améliorer et développer ses outils d'IA.

Beaucoup d'autres éléments problématiques sont mentionnés.";;;Bloqué;;;
;LOCKEE.FR;O;France – Auvergne - O2Switch SAS ;"A l’inscription : nom, prénom, adresse e-mail 

Via Microsoft : nom, adresse e-mail, préférences linguistiques et photo de profil  ";;"Création de compte réservée aux enseignants. 

Les élèves interagissent simplement avec les cadenas. ";;Accès pour personnel scolaire;;;
;LUCID ;R;USA – Californie – Akamai Technologies Inc ;"Nom, adresse e-mail, préférences linguistiques et photo de profil 

Données de journal, de localisation, appareils et utilisation du produit

Version éducation, à l'inscription d'un mineur : nom, son adresse e-mail et son mot de passe";"Version standard : Stocke, traite et conserve les documents que vous créez et/ou chargez (ainsi que les versions précédentes de vos documents), y compris les documents Lucid que vous créez, les images que vous chargez, les listes de partage et d'autres données liées à votre compte afin de vous fournir les Services. Si vous fournissez des données à caractère personnel dans ces documents, elles sont collectées. 
Publicités ciblées selon les données recueillies. Peut conserver certaines informations à des fins commerciales.

Version éducation :  activité du compte, données affichées ou cliquées, informations de journal (par exemple, type de navigateur, système d'exploitation, nom et modèle d'appareil, adresse IP, date et heure d'accès, durée passée sur nos sites Web ou dans nos services, identifiant d'appareil ou identifiant unique similaire, URL de référence, page Web qui a conduit un utilisateur à notre site Web); etpréférences de l'utilisateur lors de l'utilisation des Services (par exemple, langue).";;;Bloqué;;;
;LYRICSTRAINING;O;Irlande -  Amazon.com, Inc. ;e-mail, pseudo, date de naissance, pays;Enregistre les données d'utilisation et les favoris, les activités réalisées, scores.;"Privilégier une utilisation sans créer de compte élève.

Création de compte enseignant uniquement.";;n'existe pas;;;
;MAGICSCHOOL.AI;O;USA – Oregon – Amazon Technologies Inc ;"Nom, adresse e-mail, préférences linguistiques et photo de profil   

Certaines données techniques sur l'appareil et les logiciels, notamment le type de navigateur, le système d’exploitation, l'adresse IP, le nom de domaine, et/ou un horodatage de la visite. ";"Interdit aux mineurs (-18 ans) 

RGPD UE  

Ne collecte ni ne traite d’informations biométriques ou d’informations de localisation spécifiques à partir des appareils, ni d’autres « données sensibles », à l’exception de l' adresse et  ne fait aucun autre usage de ces informations personnellement identifiables. ";Usage réservé aux enseignants.;;Accès pour personnel scolaire;;;
;MEMRISE;R;USA - Californie ;"nom, adresse e-mail, pseudo et photo de profil

données de journal, cookies, données d'appareil, infos d'utilisation

réponses aux tets, résultats, scores

Stocke les données vocales";"Utilisation interdite en-dessous de 13 ans.

Utilisation marketing des données.";;;n'existe pas;;;
;MINDMEISTER;O ;USA - Indiana - CloudFlare CDN Network;"A l'inscription : nom, informations de profil et adresse e-mail

Généralement, les données ne sont pas stockées plus de 30 jours.

Collecte les données de trafic, de localisation, journaux et autres données de communication,  ressources auxquelles vous accédez et utilisez sur les sites, informations sur votre ordinateur et votre connexion Internet, y compris votre adresse IP, votre système d'exploitation, le type de navigateur et l'historique de navigation liés à Meister, pays, région, ville, site que vous avez visité pour la dernière fois.";"Pas destiné aux mineurs (18 ans).

Collecte le contenu créé par l'utilisateur et les fichiers téléchargés";"Comptes enseignants uniquement. Attention au contenu déposé sur la plateforme, qui doit se limiter au pédagogique.

Déconseillé par le navigateur EDUCA concernant la gestion de données personnelles d'élèves.";;n'existe pas;;;
;MINE;R;USA – Washington – Amazon.com Inc ;"Nom, adresse e-mail, préférences linguistiques et photo de profil   

Adresse IP, le type de navigateur, le système d'exploitation, la page web de référence, les pages visitées dans nos services, la localisation, votre opérateur mobile, les informations sur l'appareil (y compris les ID d'appareil et d'application), les termes de recherche et les informations sur les cookies. ";;Pas directement lié à l'enseignement.;;Bloqué;;;
;MINECRAFT : EDUCATION EDITION;?;USA - Californie ;"Minecraft education est un outil Microsoft.  

 Le logiciel peut collecter des informations sur vous et votre utilisation du logiciel et les envoyer à Microsoft. 

 Si vous vous connectez à un service proposé par un tiers avec votre compte Microsoft, vous partagerez avec ce tiers les données du compte requises pour ce service. ";;Le jeu peut être installé en local (ordinateur, via Windows Installer, ou IPad). ;;;;;
;MIRO;O;USA – Californie – Amazon.com, Inc ;"Nom, adresse e-mail, préférences linguistiques et photo de profil   

Données de journal, appareil, localisation ";"DPF Suisse-États-Unis 

Interdit aux moins de 16 ans ! 

Données transmises à des services tiers.";Usage enseignant uniquement. ;;Accès pour personnel scolaire;;;
;MURAL;R;USA – Virginie – Fastly, Inc ;Nom, adresse e-mail, préférences linguistiques et photo de profil ;"DPF Suisse Etats-Unis 

Usage non destiné aux enfants d’après le site lui-même. ";Le tableau collaboratif de Teams fait le même travail, de même que Digiboard. ;;Bloqué;;;
;NOTEBOOKLM;O ;USA - Californie - Google;;Les conditions appliquées sont les CGU et politiques de confidentialités générales de Google.;"Enseignants uniquement.

Ne pas intégrer de données personnelles.";;n'existe pas;;;
